"ticker","year","quarter","start_price","end_price","quarterly_return_pct"
"AAPL","2022","3","138.93","150.17","8.09"
"AAPL","2022","3","138.93","152.74","9.94"
"AAPL","2022","3","138.93","169.24","21.82"
"AAPL","2022","3","138.93","154.53","11.23"
"AAPL","2022","3","138.93","160.01","15.17"
"AAPL","2022","3","138.93","166.13","19.58"
"AAPL","2022","3","138.93","138.93","0.00"
"AAPL","2022","3","138.93","138.20","-0.53"
"AAPL","2022","3","138.93","174.55","25.64"
"AAPL","2022","3","138.93","167.53","20.59"
"AAPL","2022","3","138.93","165.35","19.02"
"AAPL","2022","3","138.93","150.70","8.47"
"AAPL","2022","3","138.93","145.86","4.99"
"AAPL","2022","3","138.93","155.35","11.82"
"AAPL","2022","3","138.93","156.79","12.86"
"AAPL","2022","3","138.93","153.84","10.73"
"AAPL","2022","3","138.93","148.47","6.87"
"AAPL","2022","3","138.93","156.90","12.93"
"AAPL","2022","3","138.93","146.35","5.34"
"AAPL","2022","3","138.93","168.49","21.28"
"AAPL","2022","3","138.93","151.00","8.69"
"AAPL","2022","3","138.93","150.77","8.52"
"AAPL","2022","3","138.93","155.31","11.79"
"AAPL","2022","3","138.93","151.60","9.12"
"AAPL","2022","3","138.93","152.95","10.09"
"AAPL","2022","3","138.93","144.87","4.28"
"AAPL","2022","3","138.93","173.19","24.66"
"AAPL","2022","3","138.93","157.96","13.70"
"AAPL","2022","3","138.93","152.37","9.67"
"AAPL","2022","3","138.93","147.04","5.84"
"AAPL","2022","3","138.93","165.81","19.35"
"AAPL","2022","3","138.93","149.84","7.85"
"AAPL","2022","3","138.93","151.76","9.23"
"AAPL","2022","3","138.93","171.52","23.46"
"AAPL","2022","3","138.93","154.46","11.18"
"AAPL","2022","3","138.93","174.15","25.35"
"AAPL","2022","3","138.93","153.04","10.16"
"AAPL","2022","3","138.93","142.92","2.87"
"AAPL","2022","3","138.93","164.87","18.67"
"AAPL","2022","3","138.93","153.72","10.65"
"AAPL","2022","3","138.93","147.07","5.86"
"AAPL","2022","3","138.93","173.03","24.54"
"AAPL","2022","3","138.93","154.48","11.19"
"AAPL","2022","3","138.93","162.51","16.97"
"AAPL","2022","3","138.93","145.49","4.72"
"AAPL","2022","3","138.93","150.43","8.28"
"AAPL","2022","3","138.93","164.92","18.71"
"AAPL","2022","3","138.93","167.57","20.61"
"AAPL","2022","3","138.93","167.23","20.37"
"AAPL","2022","3","138.93","157.22","13.16"
"AAPL","2022","3","138.93","161.51","16.25"
"AAPL","2022","3","138.93","154.09","10.91"
"AAPL","2022","3","138.93","161.38","16.16"
"AAPL","2022","3","138.93","157.35","13.26"
"AAPL","2022","3","138.93","170.03","22.39"
"AAPL","2022","3","138.93","172.10","23.88"
"AAPL","2022","3","138.93","157.37","13.27"
"AAPL","2022","3","138.93","158.91","14.38"
"AAPL","2022","3","138.93","155.81","12.15"
"AAPL","2022","3","138.93","141.56","1.89"
"AAPL","2022","3","138.93","163.62","17.77"
"AAPL","2022","4","142.45","129.93","-8.79"
"AAPL","2022","4","142.45","146.40","2.77"
"AAPL","2022","4","142.45","145.47","2.12"
"AAPL","2022","4","142.45","143.39","0.66"
"AAPL","2022","4","142.45","147.27","3.38"
"AAPL","2022","4","142.45","138.92","-2.48"
"AAPL","2022","4","142.45","129.61","-9.01"
"AAPL","2022","4","142.45","149.35","4.84"
"AAPL","2022","4","142.45","134.51","-5.57"
"AAPL","2022","4","142.45","126.04","-11.52"
"AAPL","2022","4","142.45","142.41","-0.03"
"AAPL","2022","4","142.45","139.50","-2.07"
"AAPL","2022","4","142.45","155.74","9.33"
"AAPL","2022","4","142.45","151.29","6.21"
"AAPL","2022","4","142.45","144.80","1.65"
"AAPL","2022","4","142.45","151.07","6.05"
"AAPL","2022","4","142.45","150.04","5.33"
"AAPL","2022","4","142.45","150.65","5.76"
"AAPL","2022","4","142.45","138.88","-2.51"
"AAPL","2022","4","142.45","138.38","-2.86"
"AAPL","2022","4","142.45","145.03","1.81"
"AAPL","2022","4","142.45","138.34","-2.89"
"AAPL","2022","4","142.45","148.28","4.09"
"AAPL","2022","4","142.45","142.45","0.00"
"AAPL","2022","4","142.45","146.87","3.10"
"AAPL","2022","4","142.45","142.99","0.38"
"AAPL","2022","4","142.45","142.65","0.14"
"AAPL","2022","4","142.45","145.43","2.09"
"AAPL","2022","4","142.45","148.01","3.90"
"AAPL","2022","4","142.45","143.21","0.53"
"AAPL","2022","4","142.45","148.31","4.11"
"AAPL","2022","4","142.45","141.17","-0.90"
"AAPL","2022","4","142.45","136.50","-4.18"
"AAPL","2022","4","142.45","138.98","-2.44"
"AAPL","2022","4","142.45","130.03","-8.72"
"AAPL","2022","4","142.45","140.09","-1.66"
"AAPL","2022","4","142.45","146.10","2.56"
"AAPL","2022","4","142.45","132.30","-7.13"
"AAPL","2022","4","142.45","153.34","7.64"
"AAPL","2022","4","142.45","147.81","3.76"
"AAPL","2022","4","142.45","144.22","1.24"
"AAPL","2022","4","142.45","152.34","6.94"
"AAPL","2022","4","142.45","131.86","-7.43"
"AAPL","2022","4","142.45","148.79","4.45"
"AAPL","2022","4","142.45","150.18","5.43"
"AAPL","2022","4","142.45","143.86","0.99"
"AAPL","2022","4","142.45","140.94","-1.06"
"AAPL","2022","4","142.45","148.11","3.97"
"AAPL","2022","4","142.45","148.03","3.92"
"AAPL","2022","4","142.45","144.49","1.43"
"AAPL","2022","4","142.45","132.37","-7.08"
"AAPL","2022","4","142.45","142.16","-0.20"
"AAPL","2022","4","142.45","149.45","4.91"
"AAPL","2022","4","142.45","134.87","-5.32"
"AAPL","2022","4","142.45","149.70","5.09"
"AAPL","2022","4","142.45","135.45","-4.91"
"AAPL","2022","4","142.45","140.42","-1.43"
"AAPL","2022","4","142.45","150.72","5.81"
"AAPL","2022","4","142.45","146.63","2.93"
"AAPL","2022","4","142.45","142.91","0.32"
"AAPL","2022","4","142.45","132.23","-7.17"
"AAPL","2022","4","142.45","143.75","0.91"
"AAPL","2023","1","125.07","150.82","20.59"
"AAPL","2023","1","125.07","147.92","18.27"
"AAPL","2023","1","125.07","145.93","16.68"
"AAPL","2023","1","125.07","152.59","22.00"
"AAPL","2023","1","125.07","155.33","24.19"
"AAPL","2023","1","125.07","144.29","15.37"
"AAPL","2023","1","125.07","137.87","10.23"
"AAPL","2023","1","125.07","164.90","31.85"
"AAPL","2023","1","125.07","135.94","8.69"
"AAPL","2023","1","125.07","125.07","0.00"
"AAPL","2023","1","125.07","155.85","24.61"
"AAPL","2023","1","125.07","134.76","7.75"
"AAPL","2023","1","125.07","152.87","22.23"
"AAPL","2023","1","125.07","153.20","22.49"
"AAPL","2023","1","125.07","133.49","6.73"
"AAPL","2023","1","125.07","148.50","18.73"
"AAPL","2023","1","125.07","157.65","26.05"
"AAPL","2023","1","125.07","146.71","17.30"
"AAPL","2023","1","125.07","141.86","13.42"
"AAPL","2023","1","125.07","154.50","23.53"
"AAPL","2023","1","125.07","160.77","28.54"
"AAPL","2023","1","125.07","157.40","25.85"
"AAPL","2023","1","125.07","126.36","1.03"
"AAPL","2023","1","125.07","143.96","15.10"
"AAPL","2023","1","125.07","148.91","19.06"
"AAPL","2023","1","125.07","135.27","8.16"
"AAPL","2023","1","125.07","151.03","20.76"
"AAPL","2023","1","125.07","151.73","21.32"
"AAPL","2023","1","125.07","133.41","6.67"
"AAPL","2023","1","125.07","152.55","21.97"
"AAPL","2023","1","125.07","157.83","26.19"
"AAPL","2023","1","125.07","148.48","18.72"
"AAPL","2023","1","125.07","154.65","23.65"
"AAPL","2023","1","125.07","135.21","8.11"
"AAPL","2023","1","125.07","151.01","20.74"
"AAPL","2023","1","125.07","130.15","4.06"
"AAPL","2023","1","125.07","145.91","16.66"
"AAPL","2023","1","125.07","153.83","23.00"
"AAPL","2023","1","125.07","150.47","20.31"
"AAPL","2023","1","125.07","153.71","22.90"
"AAPL","2023","1","125.07","145.43","16.28"
"AAPL","2023","1","125.07","151.92","21.47"
"AAPL","2023","1","125.07","147.41","17.86"
"AAPL","2023","1","125.07","158.93","27.07"
"AAPL","2023","1","125.07","150.59","20.40"
"AAPL","2023","1","125.07","145.31","16.18"
"AAPL","2023","1","125.07","160.25","28.13"
"AAPL","2023","1","125.07","141.11","12.82"
"AAPL","2023","1","125.07","129.62","3.64"
"AAPL","2023","1","125.07","149.40","19.45"
"AAPL","2023","1","125.07","155.00","23.93"
